员工编号,年龄,性别,婚姻状况,婚姻状况编码,学历,学历编码,专业,是否成年,部门,岗位,职级,出差频率,出差频率编码,离家距离,是否加班,是否加班编码,标准工时,年度培训次数,总工龄,本企业工龄,现岗年限,晋升间隔,与现任经理共事年限,跳槽次数,月收入,时薪,日薪,月薪,调薪幅度,股权激励等级,股权激励等级编码,环境满意,环境满意编码,人际关系满意,人际关系满意编码,工作满意,工作满意编码,敬业度,敬业度编码,工作与生活平衡,工作与生活平衡编码,绩效评级,绩效评级编码,是否离职,是否离职编码,员工计数
15,29,女,单身,0,大专,2,生命科学,是,研发部,实验室技术员,2,偶尔出差,0,15,是,1,80,3,10,9,5,0,8,0,4193,49,153,12682,0.12,无,0,非常高,4,非常高,4,高,3,中,2,更好,3,优秀,3,否,0,1
16,31,男,离异,2,大专以下,1,生命科学,是,研发部,研究科学家,1,偶尔出差,0,26,否,0,80,1,5,5,2,4,3,1,2911,31,670,15170,0.17,低级,1,低,1,非常高,4,高,3,高,3,好,2,优秀,3,否,0,1
18,34,男,离异,2,大专,2,医学,是,研发部,实验室技术员,1,偶尔出差,0,19,否,0,80,2,3,2,2,1,2,0,2661,93,1346,8758,0.11,低级,1,中,2,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
19,28,男,单身,0,本科,3,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,24,是,1,80,4,6,4,2,0,3,5,2028,50,103,12947,0.14,无,0,高,3,中,2,高,3,中,2,更好,3,优秀,3,是,1,1
20,29,女,离异,2,硕士,4,生命科学,是,研发部,制造总监,3,偶尔出差,0,21,否,0,80,1,10,10,9,8,8,1,9980,51,1389,10195,0.11,低级,1,中,2,高,3,低,1,非常高,4,更好,3,优秀,3,否,0,1
21,32,男,离异,2,大专,2,生命科学,是,研发部,研究科学家,1,偶尔出差,0,5,是,1,80,5,7,6,2,0,5,0,3298,80,334,15053,0.12,中级,2,低,1,非常高,4,中,2,非常高,4,好,2,优秀,3,否,0,1
22,22,男,离异,2,大专,2,医学,是,研发部,实验室技术员,1,不出差,2,16,是,1,80,2,1,1,0,0,0,1,2935,96,1123,7324,0.13,中级,2,非常高,4,中,2,非常高,4,非常高,4,好,2,优秀,3,否,0,1
23,53,女,已婚,1,硕士,4,生命科学,是,销售部,经理,4,偶尔出差,0,2,否,0,80,3,31,25,8,3,7,2,15427,78,1219,22021,0.16,无,0,低,1,高,3,非常高,4,中,2,更好,3,优秀,3,否,0,1
24,38,男,单身,0,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,2,是,1,80,3,6,3,2,1,2,5,3944,45,371,4306,0.11,无,0,非常高,4,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
26,24,女,离异,2,大专,2,其他,是,研发部,制造总监,2,不出差,2,11,否,0,80,5,5,4,2,1,3,0,4011,96,673,8232,0.18,低级,1,低,1,非常高,4,高,3,非常高,4,好,2,优秀,3,否,0,1
27,36,男,单身,0,硕士,4,生命科学,是,销售部,销售代表,1,偶尔出差,0,9,否,0,80,4,10,5,3,0,3,7,3407,82,1218,6986,0.23,无,0,高,3,中,2,低,1,中,2,更好,3,杰出,4,是,1,1
28,34,女,单身,0,硕士,4,生命科学,是,研发部,研究总监,3,偶尔出差,0,7,否,0,80,4,13,12,6,2,11,0,11994,53,419,21293,0.11,无,0,低,1,高,3,中,2,高,3,更好,3,优秀,3,否,0,1
30,21,男,单身,0,大专,2,生命科学,是,研发部,研究科学家,1,偶尔出差,0,15,否,0,80,6,0,0,0,0,0,1,1232,96,391,19281,0.14,无,0,高,3,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
31,34,男,单身,0,大专以下,1,医学,是,研发部,研究科学家,1,偶尔出差,0,6,否,0,80,2,8,4,2,1,3,2,2960,83,699,17102,0.11,无,0,中,2,高,3,低,1,高,3,更好,3,优秀,3,是,1,1
32,53,女,离异,2,本科,3,其他,是,研发部,经理,5,偶尔出差,0,5,否,0,80,3,26,14,13,4,8,4,19094,58,1282,10735,0.11,低级,1,高,3,非常高,4,高,3,高,3,好,2,优秀,3,否,0,1
33,32,女,单身,0,大专以下,1,生命科学,是,研发部,研究科学家,1,频繁出差,1,16,是,1,80,5,10,10,2,6,7,1,3919,72,1125,4681,0.22,无,0,中,2,中,2,低,1,低,1,更好,3,杰出,4,是,1,1
35,42,男,已婚,1,硕士,4,市场营销,是,销售部,销售主管,2,偶尔出差,0,8,否,0,80,2,10,9,7,4,2,0,6825,48,691,21173,0.11,低级,1,高,3,非常高,4,中,2,高,3,更好,3,优秀,3,否,0,1
36,44,女,已婚,1,硕士,4,医学,是,研发部,医疗代表,3,偶尔出差,0,7,否,0,80,4,24,22,6,5,17,3,10248,42,477,2094,0.14,低级,1,低,1,非常高,4,非常高,4,中,2,更好,3,优秀,3,否,0,1
38,46,女,单身,0,硕士,4,市场营销,是,销售部,经理,5,偶尔出差,0,2,否,0,80,2,22,2,2,2,1,3,18947,83,705,22822,0.12,无,0,中,2,非常高,4,低,1,高,3,好,2,优秀,3,否,0,1
39,33,男,单身,0,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,2,否,0,80,3,7,1,1,0,0,4,2496,78,924,6670,0.11,无,0,高,3,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
40,44,男,已婚,1,硕士,4,其他,是,研发部,医疗代表,2,偶尔出差,0,10,是,1,80,5,9,4,2,1,3,2,6465,41,1459,19121,0.13,无,0,非常高,4,非常高,4,非常高,4,高,3,最好,4,优秀,3,否,0,1
41,30,男,单身,0,大专,2,医学,是,研发部,实验室技术员,1,偶尔出差,0,9,否,0,80,5,10,10,0,1,8,1,2206,83,125,16117,0.13,无,0,非常高,4,低,1,高,3,中,2,更好,3,优秀,3,否,0,1
42,39,男,已婚,1,本科,3,工程技术,是,销售部,销售代表,2,偶尔出差,0,5,否,0,80,6,19,1,0,0,0,3,2086,56,895,3335,0.14,低级,1,非常高,4,高,3,非常高,4,高,3,最好,4,优秀,3,是,1,1
45,24,男,已婚,1,本科,3,医学,是,研发部,研究科学家,1,偶尔出差,0,1,是,1,80,2,6,2,0,2,0,2,2293,61,813,3020,0.16,低级,1,中,2,低,1,非常高,4,高,3,好,2,优秀,3,是,1,1
46,43,女,离异,2,大专,2,医学,是,研发部,研究科学家,1,偶尔出差,0,2,否,0,80,3,6,5,3,1,4,1,2645,72,1273,21923,0.12,中级,2,非常高,4,非常高,4,高,3,非常高,4,好,2,优秀,3,否,0,1
47,50,男,已婚,1,大专,2,市场营销,是,销售部,销售代表,1,偶尔出差,0,3,是,1,80,2,3,3,2,0,2,1,2683,86,869,3810,0.14,无,0,低,1,高,3,高,3,中,2,更好,3,优秀,3,是,1,1
49,35,女,已婚,1,本科,3,市场营销,是,销售部,销售代表,1,偶尔出差,0,2,否,0,80,3,2,2,2,2,2,1,2014,97,890,9687,0.13,无,0,非常高,4,低,1,非常高,4,高,3,更好,3,优秀,3,否,0,1
51,36,女,已婚,1,硕士,4,生命科学,是,研发部,研究科学家,1,偶尔出差,0,5,是,1,80,3,6,1,1,0,0,9,3419,82,852,13072,0.14,低级,1,中,2,非常高,4,低,1,中,2,最好,4,优秀,3,否,0,1
52,33,女,已婚,1,本科,3,生命科学,是,销售部,销售主管,2,频繁出差,1,1,否,0,80,3,10,5,3,1,3,2,5376,42,1141,3193,0.19,中级,2,高,3,低,1,低,1,非常高,4,更好,3,优秀,3,否,0,1
53,35,男,离异,2,大专,2,其他,是,研发部,实验室技术员,1,偶尔出差,0,4,否,0,80,3,1,1,0,0,0,1,1951,75,464,10910,0.12,低级,1,高,3,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
54,27,女,离异,2,硕士,4,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,2,否,0,80,6,1,1,0,0,0,1,2341,33,1240,19715,0.13,低级,1,非常高,4,非常高,4,低,1,高,3,更好,3,优秀,3,否,0,1
55,26,男,单身,0,本科,3,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,25,否,0,80,2,1,1,0,0,1,1,2293,48,1357,10558,0.12,无,0,低,1,高,3,高,3,低,1,好,2,优秀,3,是,1,1
56,27,男,单身,0,本科,3,生命科学,是,销售部,销售主管,3,频繁出差,1,8,否,0,80,0,9,9,8,1,7,1,8726,37,994,2975,0.15,无,0,非常高,4,非常高,4,高,3,高,3,更好,3,优秀,3,否,0,1
57,30,女,单身,0,大专,2,医学,是,研发部,实验室技术员,2,频繁出差,1,1,否,0,80,2,12,12,8,3,7,1,4011,58,721,10781,0.23,无,0,高,3,非常高,4,非常高,4,高,3,更好,3,杰出,4,否,0,1
58,41,女,已婚,1,本科,3,工程技术,是,研发部,研究总监,5,偶尔出差,0,12,否,0,80,0,23,22,15,15,8,1,19545,49,1360,16280,0.12,无,0,中,2,非常高,4,高,3,高,3,更好,3,优秀,3,是,1,1
60,34,男,单身,0,硕士,4,市场营销,是,销售部,销售主管,2,不出差,2,23,否,0,80,2,10,9,5,8,7,0,4568,72,1065,10034,0.2,无,0,中,2,高,3,高,3,高,3,更好,3,杰出,4,否,0,1
61,37,男,已婚,1,大专,2,生命科学,是,研发部,研究科学家,1,偶尔出差,0,19,否,0,80,1,8,1,0,0,0,4,3022,73,408,10227,0.21,无,0,中,2,低,1,中,2,高,3,更好,3,杰出,4,否,0,1
62,46,男,单身,0,硕士,4,市场营销,是,销售部,销售主管,2,频繁出差,1,5,是,1,80,4,14,9,6,0,8,4,5772,98,1211,20445,0.21,无,0,低,1,高,3,非常高,4,高,3,更好,3,杰出,4,否,0,1
63,35,男,已婚,1,大专以下,1,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,8,否,0,80,2,1,1,0,0,1,1,2269,36,1229,4892,0.19,无,0,非常高,4,非常高,4,非常高,4,非常高,4,更好,3,优秀,3,否,0,1
64,48,男,单身,0,大专,2,生命科学,是,研发部,实验室技术员,3,偶尔出差,0,1,是,1,80,2,23,1,0,0,0,9,5381,98,626,19294,0.13,无,0,低,1,非常高,4,高,3,中,2,更好,3,优秀,3,是,1,1
65,28,男,单身,0,硕士,4,工程技术,是,研发部,实验室技术员,1,偶尔出差,0,5,是,1,80,3,2,2,2,2,2,1,3441,50,1434,11179,0.13,无,0,高,3,高,3,高,3,高,3,好,2,优秀,3,是,1,1
68,44,女,离异,2,博士,5,市场营销,是,销售部,销售主管,2,偶尔出差,0,1,是,1,80,2,9,4,3,1,3,5,5454,75,1488,4009,0.21,低级,1,中,2,高,3,低,1,高,3,好,2,杰出,4,否,0,1
70,35,男,已婚,1,大专,2,医学,是,研发部,医疗代表,3,不出差,2,11,是,1,80,3,10,4,0,2,3,2,9884,79,1097,8302,0.13,低级,1,高,3,高,3,低,1,中,2,更好,3,优秀,3,否,0,1
72,26,女,已婚,1,本科,3,市场营销,是,销售部,销售主管,2,偶尔出差,0,23,是,1,80,2,5,2,2,0,0,7,4157,47,1443,21436,0.19,低级,1,高,3,高,3,非常高,4,中,2,好,2,优秀,3,否,0,1
73,33,女,单身,0,大专,2,生命科学,是,研发部,研究总监,3,频繁出差,1,1,是,1,80,1,15,15,14,8,12,1,13458,98,515,15146,0.12,无,0,低,1,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
74,35,男,已婚,1,博士,5,生命科学,是,销售部,销售主管,3,频繁出差,1,18,否,0,80,3,9,9,8,1,8,1,9069,71,853,11031,0.22,低级,1,中,2,非常高,4,低,1,高,3,好,2,杰出,4,否,0,1
75,35,女,已婚,1,硕士,4,医学,是,研发部,实验室技术员,1,偶尔出差,0,23,是,1,80,3,4,2,2,2,2,3,4014,30,1142,16002,0.15,低级,1,高,3,高,3,低,1,高,3,更好,3,优秀,3,否,0,1
76,31,男,离异,2,硕士,4,生命科学,是,研发部,实验室技术员,2,偶尔出差,0,7,否,0,80,3,10,7,7,1,7,3,5915,48,655,9528,0.22,低级,1,非常高,4,非常高,4,非常高,4,高,3,好,2,杰出,4,否,0,1
77,37,男,离异,2,硕士,4,生命科学,是,研发部,制造总监,2,偶尔出差,0,1,否,0,80,2,7,7,5,0,7,1,5993,51,1115,2689,0.18,低级,1,低,1,高,3,高,3,中,2,最好,4,优秀,3,否,0,1
78,32,男,已婚,1,本科,3,医学,是,研发部,制造总监,2,偶尔出差,0,1,是,1,80,3,9,9,8,7,8,1,6162,33,427,10877,0.22,低级,1,低,1,中,2,非常高,4,高,3,更好,3,杰出,4,否,0,1
79,38,女,单身,0,博士,5,生命科学,是,研发部,实验室技术员,2,频繁出差,1,29,否,0,80,2,10,10,3,9,9,1,2406,50,653,5456,0.11,无,0,非常高,4,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
80,50,女,离异,2,大专,2,医学,是,研发部,研究总监,5,偶尔出差,0,7,是,1,80,2,29,27,3,13,8,5,18740,43,989,16701,0.12,低级,1,中,2,非常高,4,高,3,中,2,好,2,优秀,3,否,0,1
81,59,女,单身,0,本科,3,生命科学,是,销售部,销售主管,3,偶尔出差,0,25,否,0,80,3,28,21,16,7,9,7,7637,99,1435,2354,0.11,无,0,低,1,非常高,4,低,1,高,3,好,2,优秀,3,否,0,1
83,36,女,离异,2,本科,3,工程技术,是,研发部,医疗代表,3,偶尔出差,0,8,否,0,80,2,17,17,14,12,8,1,10096,59,1223,8202,0.13,高级,3,高,3,中,2,高,3,高,3,更好,3,优秀,3,否,0,1
84,55,女,离异,2,本科,3,医学,是,研发部,经理,4,偶尔出差,0,8,是,1,80,2,21,5,0,0,2,2,14756,33,836,19730,0.14,高级,3,非常高,4,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
85,36,男,单身,0,本科,3,生命科学,是,研发部,制造总监,2,频繁出差,1,11,否,0,80,3,6,6,5,0,3,1,6499,95,1195,22656,0.13,无,0,中,2,高,3,中,2,中,2,更好,3,优秀,3,否,0,1
86,45,男,离异,2,本科,3,生命科学,是,研发部,研究科学家,3,偶尔出差,0,7,否,0,80,2,25,1,0,0,0,2,9724,59,1339,18787,0.17,低级,1,中,2,高,3,低,1,高,3,更好,3,优秀,3,否,0,1
88,35,男,已婚,1,本科,3,医学,是,研发部,研究科学家,1,频繁出差,1,1,否,0,80,2,5,3,2,1,2,4,2194,79,664,5868,0.13,低级,1,中,2,非常高,4,低,1,高,3,好,2,优秀,3,否,0,1
90,36,男,已婚,1,本科,3,医学,是,研发部,研究科学家,1,偶尔出差,0,9,是,1,80,0,2,1,0,0,0,0,3388,79,318,21777,0.17,低级,1,非常高,4,低,1,高,3,中,2,好,2,优秀,3,是,1,1
91,59,女,单身,0,大专以下,1,生命科学,是,销售部,销售主管,2,频繁出差,1,1,否,0,80,2,20,4,3,1,3,7,5473,57,1225,24668,0.11,无,0,低,1,非常高,4,高,3,中,2,好,2,优秀,3,否,0,1
94,29,男,已婚,1,本科,3,生命科学,是,研发部,研究科学家,1,偶尔出差,0,2,否,0,80,3,6,5,4,0,4,0,2703,76,1328,4956,0.23,低级,1,高,3,非常高,4,中,2,高,3,更好,3,杰出,4,否,0,1
95,31,男,单身,0,硕士,4,医学,是,研发部,研究科学家,1,偶尔出差,0,1,否,0,80,4,1,1,1,1,0,1,2501,87,1082,18775,0.17,无,0,高,3,中,2,中,2,高,3,更好,3,优秀,3,否,0,1
96,32,男,已婚,1,本科,3,生命科学,是,研发部,研究科学家,2,偶尔出差,0,1,否,0,80,3,10,10,4,0,9,1,6220,66,548,7346,0.17,中级,2,中,2,中,2,中,2,高,3,更好,3,优秀,3,否,0,1
97,36,女,已婚,1,本科,3,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,6,否,0,80,3,5,1,0,0,0,3,3038,55,132,22002,0.12,无,0,中,2,中,2,非常高,4,非常高,4,更好,3,优秀,3,否,0,1
98,31,女,单身,0,硕士,4,生命科学,是,研发部,制造总监,2,偶尔出差,0,8,否,0,80,2,11,11,7,1,8,1,4424,61,746,20682,0.23,无,0,高,3,非常高,4,非常高,4,高,3,更好,3,杰出,4,否,0,1
100,35,男,单身,0,硕士,4,市场营销,是,销售部,销售主管,2,偶尔出差,0,1,否,0,80,2,16,15,13,2,8,0,4312,32,776,23016,0.14,无,0,高,3,中,2,低,1,中,2,更好,3,优秀,3,否,0,1
101,45,男,已婚,1,硕士,4,其他,是,研发部,研究总监,3,偶尔出差,0,6,是,1,80,3,17,0,0,0,0,4,13245,52,193,15067,0.14,无,0,非常高,4,中,2,低,1,高,3,最好,4,优秀,3,否,0,1
102,37,男,单身,0,硕士,4,医学,是,研发部,研究总监,3,偶尔出差,0,7,否,0,80,3,16,5,2,0,2,4,13664,30,397,25258,0.13,无,0,低,1,低,1,高,3,高,3,最好,4,优秀,3,否,0,1
103,46,男,离异,2,大专,2,医学,是,人力资源部,人力资源专员,2,偶尔出差,0,5,是,1,80,2,16,4,2,0,2,8,5021,80,945,10425,0.22,低级,1,中,2,非常高,4,中,2,高,3,更好,3,杰出,4,否,0,1
104,30,男,已婚,1,大专以下,1,生命科学,是,研发部,实验室技术员,2,偶尔出差,0,1,是,1,80,1,10,10,8,3,0,1,5126,55,852,15998,0.12,中级,2,非常高,4,高,3,非常高,4,中,2,好,2,优秀,3,否,0,1
105,35,男,单身,0,本科,3,医学,是,研发部,研究科学家,1,偶尔出差,0,1,否,0,80,3,6,6,4,0,4,1,2859,30,1214,26278,0.18,无,0,中,2,低,1,高,3,中,2,更好,3,优秀,3,否,0,1
106,55,男,已婚,1,大专,2,生命科学,是,销售部,销售主管,3,偶尔出差,0,1,否,0,80,4,24,1,0,1,0,3,10239,70,111,18092,0.14,低级,1,低,1,非常高,4,非常高,4,高,3,更好,3,优秀,3,否,0,1
107,38,女,离异,2,本科,3,医学,是,研发部,研究科学家,2,不出差,2,6,是,1,80,3,17,13,11,1,9,7,5329,79,573,15717,0.12,高级,3,中,2,非常高,4,非常高,4,低,1,更好,3,优秀,3,否,0,1
110,34,男,已婚,1,大专,2,医学,是,研发部,制造总监,2,偶尔出差,0,1,否,0,80,2,5,5,2,1,3,1,4325,94,1153,17736,0.15,无,0,低,1,高,3,中,2,高,3,更好,3,优秀,3,否,0,1
112,56,男,单身,0,本科,3,生命科学,是,研发部,制造总监,3,偶尔出差,0,7,否,0,80,3,37,6,4,0,2,4,7260,49,1400,21698,0.11,无,0,非常高,4,低,1,非常高,4,低,1,好,2,优秀,3,否,0,1
113,23,男,离异,2,大专以下,1,工程技术,是,销售部,销售代表,1,偶尔出差,0,2,否,0,80,3,3,0,0,0,0,3,2322,62,541,9518,0.13,低级,1,高,3,高,3,低,1,高,3,更好,3,优秀,3,否,0,1
116,51,男,已婚,1,硕士,4,生命科学,是,研发部,实验室技术员,1,偶尔出差,0,9,否,0,80,4,10,4,2,0,3,3,2075,96,432,18725,0.23,中级,2,非常高,4,中,2,非常高,4,高,3,更好,3,杰出,4,否,0,1
117,30,男,已婚,1,本科,3,生命科学,是,研发部,医疗代表,2,偶尔出差,0,2,否,0,80,3,11,11,10,10,8,1,4152,99,288,15830,0.19,高级,3,高,3,低,1,非常高,4,中,2,更好,3,优秀,3,否,0,1
118,46,男,单身,0,大专,2,医学,是,销售部,销售主管,3,偶尔出差,0,9,否,0,80,3,9,9,8,4,7,1,9619,64,669,13596,0.16,无,0,高,3,非常高,4,非常高,4,中,2,更好,3,优秀,3,是,1,1
119,40,男,已婚,1,硕士,4,生命科学,是,研发部,医疗代表,4,频繁出差,1,1,否,0,80,3,22,22,3,11,11,1,13503,78,530,14115,0.22,低级,1,高,3,非常高,4,中,2,中,2,好,2,杰出,4,否,0,1
120,51,男,单身,0,硕士,4,市场营销,是,销售部,销售主管,2,偶尔出差,0,21,是,1,80,2,11,10,7,1,0,0,5441,71,632,8423,0.22,无,0,高,3,非常高,4,非常高,4,高,3,差,1,杰出,4,否,0,1
121,30,女,离异,2,大专,2,医学,是,销售部,销售主管,2,偶尔出差,0,4,是,1,80,4,11,11,8,2,7,1,5209,63,1334,19760,0.12,高级,3,高,3,中,2,中,2,中,2,好,2,优秀,3,否,0,1
124,46,男,已婚,1,本科,3,医学,是,研发部,医疗代表,3,频繁出差,1,1,是,1,80,5,21,10,9,9,5,2,10673,40,638,3142,0.13,低级,1,高,3,高,3,低,1,中,2,好,2,优秀,3,否,0,1
125,32,男,单身,0,硕士,4,医学,是,销售部,销售主管,2,偶尔出差,0,6,否,0,80,0,12,11,8,5,7,1,5010,87,1093,24301,0.16,无,0,中,2,低,1,高,3,高,3,更好,3,优秀,3,否,0,1
126,54,女,已婚,1,硕士,4,工程技术,是,研发部,研究总监,3,偶尔出差,0,2,否,0,80,5,16,4,3,0,3,9,13549,60,1217,24001,0.12,低级,1,低,1,低,1,高,3,高,3,差,1,优秀,3,否,0,1
128,24,女,已婚,1,大专,2,其他,是,销售部,销售主管,2,偶尔出差,0,3,否,0,80,2,4,3,2,0,2,0,4999,33,1353,17519,0.21,低级,1,低,1,低,1,高,3,高,3,好,2,杰出,4,否,0,1
129,28,男,已婚,1,本科,3,医学,是,销售部,销售主管,2,不出差,2,4,否,0,80,3,5,5,4,0,4,1,4221,43,120,8863,0.15,无,0,中,2,中,2,高,3,高,3,最好,4,优秀,3,否,0,1
131,58,男,单身,0,硕士,4,医学,是,销售部,销售主管,4,偶尔出差,0,10,否,0,80,1,38,37,10,1,8,0,13872,37,682,24409,0.13,无,0,非常高,4,高,3,高,3,高,3,好,2,优秀,3,否,0,1
132,44,男,已婚,1,本科,3,医学,是,研发部,实验室技术员,2,不出差,2,23,否,0,80,3,17,3,2,1,2,4,2042,67,489,25043,0.12,低级,1,中,2,高,3,中,2,高,3,最好,4,优秀,3,否,0,1
133,37,男,离异,2,硕士,4,人力资源,是,人力资源部,人力资源专员,1,偶尔出差,0,6,是,1,80,3,7,3,2,0,2,4,2073,63,807,23648,0.22,无,0,高,3,非常高,4,低,1,高,3,更好,3,杰出,4,是,1,1
134,32,男,单身,0,大专以下,1,生命科学,是,研发部,研究科学家,1,偶尔出差,0,1,否,0,80,2,1,1,0,0,0,1,2956,71,827,15178,0.13,无,0,非常高,4,非常高,4,低,1,高,3,更好,3,优秀,3,否,0,1
137,20,女,单身,0,本科,3,生命科学,是,研发部,实验室技术员,1,频繁出差,1,6,是,1,80,5,1,1,0,1,0,1,2926,66,871,19783,0.18,无,0,非常高,4,中,2,非常高,4,中,2,更好,3,优秀,3,是,1,1
138,34,女,单身,0,硕士,4,其他,是,研发部,研究科学家,2,偶尔出差,0,6,否,0,80,3,16,16,13,2,10,1,4809,41,665,12482,0.14,无,0,低,1,高,3,高,3,高,3,更好,3,优秀,3,否,0,1
139,37,男,离异,2,大专,2,生命科学,是,研发部,医疗代表,2,不出差,2,2,否,0,80,2,17,1,0,0,0,5,5163,100,1040,15850,0.14,低级,1,高,3,非常高,4,非常高,4,中,2,最好,4,优秀,3,否,0,1
140,59,女,已婚,1,硕士,4,人力资源,是,人力资源部,经理,5,不出差,2,2,否,0,80,3,30,3,2,2,2,9,18844,32,1420,21922,0.21,低级,1,高,3,非常高,4,非常高,4,中,2,更好,3,杰出,4,否,0,1
141,50,女,已婚,1,本科,3,生命科学,是,研发部,研究总监,5,频繁出差,1,1,是,1,80,1,28,8,3,0,7,3,18172,73,1115,9755,0.19,无,0,低,1,低,1,中,2,高,3,好,2,优秀,3,否,0,1
142,25,男,单身,0,本科,3,市场营销,是,销售部,销售主管,2,偶尔出差,0,5,是,1,80,1,6,6,4,0,3,1,5744,46,240,26959,0.11,无,0,高,3,非常高,4,高,3,中,2,更好,3,优秀,3,是,1,1
143,25,男,已婚,1,大专以下,1,医学,是,研发部,研究科学家,1,偶尔出差,0,7,否,0,80,2,2,2,2,2,1,1,2889,64,1280,26897,0.11,中级,2,非常高,4,高,3,非常高,4,中,2,更好,3,优秀,3,否,0,1
144,22,女,单身,0,本科,3,医学,是,研发部,实验室技术员,1,偶尔出差,0,15,否,0,80,5,1,0,0,0,0,1,2871,59,534,23785,0.15,无,0,中,2,高,3,非常高,4,高,3,更好,3,优秀,3,否,0,1
145,51,女,单身,0,硕士,4,医学,是,研发部,医疗代表,3,频繁出差,1,1,否,0,80,1,23,13,12,12,8,3,7484,30,1456,25796,0.2,无,0,低,1,高,3,低,1,中,2,好,2,杰出,4,否,0,1
147,34,男,单身,0,本科,3,生命科学,是,研发部,实验室技术员,2,频繁出差,1,7,是,1,80,3,9,9,7,0,6,1,6074,66,658,22887,0.24,无,0,低,1,非常高,4,高,3,低,1,更好,3,杰出,4,是,1,1
